Super + Enter        : Открыть терминал
Super + D            : Меню приложений
Super + Q            : Закрыть окно
Super + Shift + W    : Сменить обои
Super + O            : Обзор рабочих столов
Super + V            : Плавающее окно
Super + F            : Развернуть колонку
Super + Shift + E    : Выйти из niri
Super + Shift + /    : Показать список биндов
Super + B            : Firefox
Super + S            : Steam
Super + E            : Dolphin
Super + Z            : Telegram
Super + M            : Spotify
Super + Y            : Vesktop
